"","country","agemin","agemax","tarspec","with_expats","mau"
"11","BE","18","65","{""geo_locations"":{""countries"":[""BE""],""location_types"":[""home""]},""publisher_platforms"":[""facebook"",""instagram"",""audience_network"",""messenger""],""facebook_positions"":[""feed"",""instant_article"",""instream_video"",""right_hand_column"",""video_feeds"",""marketplace"",""story"",""facebook_reels_overlay"",""search"",""groups_feed""],""instagram_positions"":[""stream"",""story"",""explore"",""reels"",""shop""],""messenger_positions"":[""messenger_home"",""story""],""device_platforms"":[""mobile"",""desktop""],""audience_network_positions"":[""classic"",""rewarded_video""],""oculus_positions"":[],""excluded_publisher_list_ids"":[],""user_device"":[],""excluded_user_device"":[],""user_os"":[],""wireless_carrier"":[],""targeting_optimization"":""none"",""brand_safety_content_filter_levels"":[""FACEBOOK_STANDARD"",""AN_STANDARD""],""excluded_brand_safety_content_types"":[],""age_min"":18,""age_max"":65,""flexible_spec"":[{""behaviors"":[{""id"":""6015559470583"",""name"":""Livesabroad""}]}]}","TRUE","857900"
"12","BE","18","65","{""geo_locations"":{""countries"":[""BE""],""location_types"":[""home""]},""publisher_platforms"":[""facebook"",""instagram"",""audience_network"",""messenger""],""facebook_positions"":[""feed"",""instant_article"",""instream_video"",""right_hand_column"",""video_feeds"",""marketplace"",""story"",""facebook_reels_overlay"",""search"",""groups_feed""],""instagram_positions"":[""stream"",""story"",""explore"",""reels"",""shop""],""messenger_positions"":[""messenger_home"",""story""],""device_platforms"":[""mobile"",""desktop""],""audience_network_positions"":[""classic"",""rewarded_video""],""oculus_positions"":[],""excluded_publisher_list_ids"":[],""user_device"":[],""excluded_user_device"":[],""user_os"":[],""wireless_carrier"":[],""targeting_optimization"":""none"",""brand_safety_content_filter_levels"":[""FACEBOOK_STANDARD"",""AN_STANDARD""],""excluded_brand_safety_content_types"":[],""age_min"":18,""age_max"":65}","FALSE","9100000"
"13","BA","18","65","{""geo_locations"":{""countries"":[""BA""],""location_types"":[""home""]},""publisher_platforms"":[""facebook"",""instagram"",""audience_network"",""messenger""],""facebook_positions"":[""feed"",""instant_article"",""instream_video"",""right_hand_column"",""video_feeds"",""marketplace"",""story"",""facebook_reels_overlay"",""search"",""groups_feed""],""instagram_positions"":[""stream"",""story"",""explore"",""reels"",""shop""],""messenger_positions"":[""messenger_home"",""story""],""device_platforms"":[""mobile"",""desktop""],""audience_network_positions"":[""classic"",""rewarded_video""],""oculus_positions"":[],""excluded_publisher_list_ids"":[],""user_device"":[],""excluded_user_device"":[],""user_os"":[],""wireless_carrier"":[],""targeting_optimization"":""none"",""brand_safety_content_filter_levels"":[""FACEBOOK_STANDARD"",""AN_STANDARD""],""excluded_brand_safety_content_types"":[],""age_min"":18,""age_max"":65,""flexible_spec"":[{""behaviors"":[{""id"":""6015559470583"",""name"":""Livesabroad""}]}]}","TRUE","113700"
"14","BA","18","65","{""geo_locations"":{""countries"":[""BA""],""location_types"":[""home""]},""publisher_platforms"":[""facebook"",""instagram"",""audience_network"",""messenger""],""facebook_positions"":[""feed"",""instant_article"",""instream_video"",""right_hand_column"",""video_feeds"",""marketplace"",""story"",""facebook_reels_overlay"",""search"",""groups_feed""],""instagram_positions"":[""stream"",""story"",""explore"",""reels"",""shop""],""messenger_positions"":[""messenger_home"",""story""],""device_platforms"":[""mobile"",""desktop""],""audience_network_positions"":[""classic"",""rewarded_video""],""oculus_positions"":[],""excluded_publisher_list_ids"":[],""user_device"":[],""excluded_user_device"":[],""user_os"":[],""wireless_carrier"":[],""targeting_optimization"":""none"",""brand_safety_content_filter_levels"":[""FACEBOOK_STANDARD"",""AN_STANDARD""],""excluded_brand_safety_content_types"":[],""age_min"":18,""age_max"":65}","FALSE","2000000"
"15","BG","18","65","{""geo_locations"":{""countries"":[""BG""],""location_types"":[""home""]},""publisher_platforms"":[""facebook"",""instagram"",""audience_network"",""messenger""],""facebook_positions"":[""feed"",""instant_article"",""instream_video"",""right_hand_column"",""video_feeds"",""marketplace"",""story"",""facebook_reels_overlay"",""search"",""groups_feed""],""instagram_positions"":[""stream"",""story"",""explore"",""reels"",""shop""],""messenger_positions"":[""messenger_home"",""story""],""device_platforms"":[""mobile"",""desktop""],""audience_network_positions"":[""classic"",""rewarded_video""],""oculus_positions"":[],""excluded_publisher_list_ids"":[],""user_device"":[],""excluded_user_device"":[],""user_os"":[],""wireless_carrier"":[],""targeting_optimization"":""none"",""brand_safety_content_filter_levels"":[""FACEBOOK_STANDARD"",""AN_STANDARD""],""excluded_brand_safety_content_types"":[],""age_min"":18,""age_max"":65,""flexible_spec"":[{""behaviors"":[{""id"":""6015559470583"",""name"":""Livesabroad""}]}]}","TRUE","104000"
"16","BG","18","65","{""geo_locations"":{""countries"":[""BG""],""location_types"":[""home""]},""publisher_platforms"":[""facebook"",""instagram"",""audience_network"",""messenger""],""facebook_positions"":[""feed"",""instant_article"",""instream_video"",""right_hand_column"",""video_feeds"",""marketplace"",""story"",""facebook_reels_overlay"",""search"",""groups_feed""],""instagram_positions"":[""stream"",""story"",""explore"",""reels"",""shop""],""messenger_positions"":[""messenger_home"",""story""],""device_platforms"":[""mobile"",""desktop""],""audience_network_positions"":[""classic"",""rewarded_video""],""oculus_positions"":[],""excluded_publisher_list_ids"":[],""user_device"":[],""excluded_user_device"":[],""user_os"":[],""wireless_carrier"":[],""targeting_optimization"":""none"",""brand_safety_content_filter_levels"":[""FACEBOOK_STANDARD"",""AN_STANDARD""],""excluded_brand_safety_content_types"":[],""age_min"":18,""age_max"":65}","FALSE","4500000"
"17","CH","18","65","{""geo_locations"":{""countries"":[""CH""],""location_types"":[""home""]},""publisher_platforms"":[""facebook"",""instagram"",""audience_network"",""messenger""],""facebook_positions"":[""feed"",""instant_article"",""instream_video"",""right_hand_column"",""video_feeds"",""marketplace"",""story"",""facebook_reels_overlay"",""search"",""groups_feed""],""instagram_positions"":[""stream"",""story"",""explore"",""reels"",""shop""],""messenger_positions"":[""messenger_home"",""story""],""device_platforms"":[""mobile"",""desktop""],""audience_network_positions"":[""classic"",""rewarded_video""],""oculus_positions"":[],""excluded_publisher_list_ids"":[],""user_device"":[],""excluded_user_device"":[],""user_os"":[],""wireless_carrier"":[],""targeting_optimization"":""none"",""brand_safety_content_filter_levels"":[""FACEBOOK_STANDARD"",""AN_STANDARD""],""excluded_brand_safety_content_types"":[],""age_min"":18,""age_max"":65,""flexible_spec"":[{""behaviors"":[{""id"":""6015559470583"",""name"":""Livesabroad""}]}]}","TRUE","1000000"
"18","CH","18","65","{""geo_locations"":{""countries"":[""CH""],""location_types"":[""home""]},""publisher_platforms"":[""facebook"",""instagram"",""audience_network"",""messenger""],""facebook_positions"":[""feed"",""instant_article"",""instream_video"",""right_hand_column"",""video_feeds"",""marketplace"",""story"",""facebook_reels_overlay"",""search"",""groups_feed""],""instagram_positions"":[""stream"",""story"",""explore"",""reels"",""shop""],""messenger_positions"":[""messenger_home"",""story""],""device_platforms"":[""mobile"",""desktop""],""audience_network_positions"":[""classic"",""rewarded_video""],""oculus_positions"":[],""excluded_publisher_list_ids"":[],""user_device"":[],""excluded_user_device"":[],""user_os"":[],""wireless_carrier"":[],""targeting_optimization"":""none"",""brand_safety_content_filter_levels"":[""FACEBOOK_STANDARD"",""AN_STANDARD""],""excluded_brand_safety_content_types"":[],""age_min"":18,""age_max"":65}","FALSE","5700000"
"19","CY","18","65","{""geo_locations"":{""countries"":[""CY""],""location_types"":[""home""]},""publisher_platforms"":[""facebook"",""instagram"",""audience_network"",""messenger""],""facebook_positions"":[""feed"",""instant_article"",""instream_video"",""right_hand_column"",""video_feeds"",""marketplace"",""story"",""facebook_reels_overlay"",""search"",""groups_feed""],""instagram_positions"":[""stream"",""story"",""explore"",""reels"",""shop""],""messenger_positions"":[""messenger_home"",""story""],""device_platforms"":[""mobile"",""desktop""],""audience_network_positions"":[""classic"",""rewarded_video""],""oculus_positions"":[],""excluded_publisher_list_ids"":[],""user_device"":[],""excluded_user_device"":[],""user_os"":[],""wireless_carrier"":[],""targeting_optimization"":""none"",""brand_safety_content_filter_levels"":[""FACEBOOK_STANDARD"",""AN_STANDARD""],""excluded_brand_safety_content_types"":[],""age_min"":18,""age_max"":65,""flexible_spec"":[{""behaviors"":[{""id"":""6015559470583"",""name"":""Livesabroad""}]}]}","TRUE","214100"
"20","CY","18","65","{""geo_locations"":{""countries"":[""CY""],""location_types"":[""home""]},""publisher_platforms"":[""facebook"",""instagram"",""audience_network"",""messenger""],""facebook_positions"":[""feed"",""instant_article"",""instream_video"",""right_hand_column"",""video_feeds"",""marketplace"",""story"",""facebook_reels_overlay"",""search"",""groups_feed""],""instagram_positions"":[""stream"",""story"",""explore"",""reels"",""shop""],""messenger_positions"":[""messenger_home"",""story""],""device_platforms"":[""mobile"",""desktop""],""audience_network_positions"":[""classic"",""rewarded_video""],""oculus_positions"":[],""excluded_publisher_list_ids"":[],""user_device"":[],""excluded_user_device"":[],""user_os"":[],""wireless_carrier"":[],""targeting_optimization"":""none"",""brand_safety_content_filter_levels"":[""FACEBOOK_STANDARD"",""AN_STANDARD""],""excluded_brand_safety_content_types"":[],""age_min"":18,""age_max"":65}","FALSE","1300000"
