query_time,dau,behaviors,mau,mau_lower,mau_upper,country,age_group,gender_alias
2024-05-31 19:50:29,2639,Lived in Sweden (Formerly Expats - Sweden),3700,3400,4000,DE,-,M
2024-05-31 19:50:39,3435,Lived in Switzerland (Formerly Expats - Switzerland),5150,4700,5600,DE,-,M
2024-05-31 19:50:49,12617,Lived in United Kingdom (Formerly Expats - United Kingdom),17150,15800,18500,DE,-,M
2024-05-31 19:50:57,-3,Lived in Greece (Formerly Expats - Greece),-3,-3,-3,DE,-,M
2024-05-31 19:51:01,4159,Lived in Latvia (Formerly Expats - Latvia),4800,4400,5200,DE,-,M
2024-05-31 19:51:11,1975,Lived in Luxembourg (Formerly Expats - Luxembourg),2600,2400,2800,DE,-,M
2024-05-31 19:51:22,19097629,,22500000,20700000,24300000,DE,-,F
2024-05-31 19:51:32,1715508,Lives abroad,1950000,1800000,2100000,DE,-,F
2024-05-31 19:51:43,9992,Lived in Austria (Formerly Expats - Austria),11750,10800,12700,DE,-,F
2024-05-31 19:51:54,2624,Lived in Belgium (Formerly Expats - Belgium),3200,2900,3500,DE,-,F
2024-05-31 20:37:08,10099,Lived in Czech Republic (Formerly Expats - Czech Republic),11650,10700,12600,DE,-,F
2024-05-31 20:37:19,1988,Lived in Denmark (Formerly Expats - Denmark),2500,2300,2700,DE,-,F
2024-05-31 20:37:29,1469,Lived in Estonia (Formerly Expats - Estonia),1950,1800,2100,DE,-,F
2024-05-31 20:37:40,1236,Lived in Finland (Formerly Expats - Finland),1650,1500,1800,DE,-,F
2024-05-31 20:37:50,8112,Lived in France (Formerly Expats - France),10550,9700,11400,DE,-,F
2024-05-31 20:38:01,665,Lived in Germany (Formerly Expats - Germany),1000,1000,1000,DE,-,F
2024-05-31 20:38:12,30139,Lived in Hungary (Formerly Expats - Hungary),31450,28900,34000,DE,-,F
2024-05-31 20:38:23,1385,Lived in Ireland (Formerly Expats - Ireland),1450,1300,1600,DE,-,F
2024-05-31 20:38:34,63300,Lived in Italy (Formerly Expats - Italy),70500,64800,76200,DE,-,F
2024-05-31 20:38:45,10074,Lived in Lithuania (Formerly Expats - Lithuania),12050,11100,13000,DE,-,F
2024-05-31 20:38:55,9206,Lived in Netherlands (Formerly Expats - Netherlands),10450,9600,11300,DE,-,F
2024-05-31 20:39:06,1308,Lived in Norway (Formerly Expats - Norway),1450,1300,1600,DE,-,F
2024-05-31 20:39:16,175528,Lived in Poland (Formerly Expats - Poland),188950,173600,204300,DE,-,F
2024-05-31 20:39:29,15095,Lived in Portugal (Formerly Expats - Portugal),16650,15300,18000,DE,-,F
2024-05-31 20:39:39,129547,Lived in Romania (Formerly Expats - Romania),138400,127200,149600,DE,-,F
2024-05-31 20:39:50,32136,Lived in Russia (Formerly Expats - Russia),43500,40000,47000,DE,-,F
2024-05-31 20:40:01,37099,Lived in Serbia (Formerly Expats - Serbia),39500,36300,42700,DE,-,F
2024-05-31 20:40:11,9908,Lived in Slovakia (Formerly Expats - Slovakia),10450,9600,11300,DE,-,F
2024-05-31 20:40:22,14476,Lived in Spain (Formerly Expats - Spain),17300,15900,18700,DE,-,F
2024-05-31 20:40:34,2498,Lived in Sweden (Formerly Expats - Sweden),3250,3000,3500,DE,-,F
2024-05-31 20:40:44,3965,Lived in Switzerland (Formerly Expats - Switzerland),4750,4400,5100,DE,-,F
2024-05-31 20:40:55,9132,Lived in United Kingdom (Formerly Expats - United Kingdom),12650,11600,13700,DE,-,F
2024-05-31 20:41:02,-3,Lived in Greece (Formerly Expats - Greece),-3,-3,-3,DE,-,F
2024-05-31 20:41:06,6363,Lived in Latvia (Formerly Expats - Latvia),7500,6900,8100,DE,-,F
2024-05-31 20:41:16,3092,Lived in Luxembourg (Formerly Expats - Luxembourg),3050,2800,3300,DE,-,F
2024-05-31 20:41:27,701308,,1400000,1300000,1500000,DE,13-19,all
2024-05-31 20:41:37,21653,Lives abroad,30250,27800,32700,DE,13-19,all
2024-05-31 20:41:48,0,Lived in Austria (Formerly Expats - Austria),1000,1000,1000,DE,13-19,all
2024-05-31 20:41:55,-3,Lived in Belgium (Formerly Expats - Belgium),-3,-3,-3,DE,13-19,all
2024-05-31 20:42:02,989,Lived in Czech Republic (Formerly Expats - Czech Republic),1000,1000,1000,DE,13-19,all
2024-05-31 20:42:09,-3,Lived in Denmark (Formerly Expats - Denmark),-3,-3,-3,DE,13-19,all
2024-05-31 20:42:09,-3,Lived in Estonia (Formerly Expats - Estonia),-3,-3,-3,DE,13-19,all
2024-05-31 20:42:13,-3,Lived in Finland (Formerly Expats - Finland),-3,-3,-3,DE,13-19,all
2024-05-31 20:42:20,989,Lived in France (Formerly Expats - France),1000,1000,1000,DE,13-19,all
2024-05-31 20:42:27,-3,Lived in Germany (Formerly Expats - Germany),-3,-3,-3,DE,13-19,all
2024-05-31 20:42:34,0,Lived in Hungary (Formerly Expats - Hungary),1000,1000,1000,DE,13-19,all
2024-05-31 20:42:41,-3,Lived in Ireland (Formerly Expats - Ireland),-3,-3,-3,DE,13-19,all
2024-05-31 20:42:51,499,Lived in Italy (Formerly Expats - Italy),1000,1000,1000,DE,13-19,all
2024-05-31 20:42:58,-3,Lived in Lithuania (Formerly Expats - Lithuania),-3,-3,-3,DE,13-19,all
2024-05-31 20:43:05,0,Lived in Netherlands (Formerly Expats - Netherlands),1000,1000,1000,DE,13-19,all
2024-05-31 20:43:12,-3,Lived in Norway (Formerly Expats - Norway),-3,-3,-3,DE,13-19,all
2024-05-31 20:43:23,1172,Lived in Poland (Formerly Expats - Poland),1500,1400,1600,DE,13-19,all
2024-05-31 20:43:34,989,Lived in Portugal (Formerly Expats - Portugal),1000,1000,1000,DE,13-19,all
2024-05-31 20:43:44,1699,Lived in Romania (Formerly Expats - Romania),1750,1600,1900,DE,13-19,all
2024-05-31 20:43:54,994,Lived in Russia (Formerly Expats - Russia),1000,1000,1000,DE,13-19,all
2024-05-31 20:44:05,994,Lived in Serbia (Formerly Expats - Serbia),1000,1000,1000,DE,13-19,all
2024-05-31 20:44:17,996,Lived in Slovakia (Formerly Expats - Slovakia),1000,1000,1000,DE,13-19,all
2024-05-31 20:44:27,0,Lived in Spain (Formerly Expats - Spain),1000,1000,1000,DE,13-19,all
2024-05-31 20:44:37,497,Lived in Sweden (Formerly Expats - Sweden),1000,1000,1000,DE,13-19,all
2024-05-31 20:44:48,0,Lived in Switzerland (Formerly Expats - Switzerland),1000,1000,1000,DE,13-19,all
2024-05-31 20:44:58,497,Lived in United Kingdom (Formerly Expats - United Kingdom),1000,1000,1000,DE,13-19,all
2024-05-31 20:45:09,0,Lived in Greece (Formerly Expats - Greece),1000,1000,1000,DE,13-19,all
2024-05-31 20:45:16,-3,Lived in Latvia (Formerly Expats - Latvia),-3,-3,-3,DE,13-19,all
2024-05-31 20:45:19,-3,Lived in Luxembourg (Formerly Expats - Luxembourg),-3,-3,-3,DE,13-19,all
2024-05-31 20:45:26,343276,,645400,593100,697700,DE,13-19,M
2024-05-31 20:45:39,13902,Lives abroad,19350,17800,20900,DE,13-19,M
2024-05-31 20:45:50,0,Lived in Austria (Formerly Expats - Austria),1000,1000,1000,DE,13-19,M
2024-05-31 20:45:57,-3,Lived in Belgium (Formerly Expats - Belgium),-3,-3,-3,DE,13-19,M
2024-05-31 20:46:04,0,Lived in Czech Republic (Formerly Expats - Czech Republic),1000,1000,1000,DE,13-19,M
2024-05-31 20:46:11,-3,Lived in Denmark (Formerly Expats - Denmark),-3,-3,-3,DE,13-19,M
2024-05-31 20:46:19,-3,Lived in Estonia (Formerly Expats - Estonia),-3,-3,-3,DE,13-19,M
2024-05-31 20:46:22,-3,Lived in Finland (Formerly Expats - Finland),-3,-3,-3,DE,13-19,M
2024-05-31 20:46:33,0,Lived in France (Formerly Expats - France),1000,1000,1000,DE,13-19,M
2024-05-31 20:46:41,-3,Lived in Germany (Formerly Expats - Germany),-3,-3,-3,DE,13-19,M
2024-05-31 20:46:51,0,Lived in Hungary (Formerly Expats - Hungary),1000,1000,1000,DE,13-19,M
2024-05-31 20:46:58,-3,Lived in Ireland (Formerly Expats - Ireland),-3,-3,-3,DE,13-19,M
2024-05-31 20:47:08,748,Lived in Italy (Formerly Expats - Italy),1000,1000,1000,DE,13-19,M
2024-05-31 20:47:15,-3,Lived in Lithuania (Formerly Expats - Lithuania),-3,-3,-3,DE,13-19,M
2024-05-31 20:47:26,0,Lived in Netherlands (Formerly Expats - Netherlands),1000,1000,1000,DE,13-19,M
2024-05-31 20:47:33,-3,Lived in Norway (Formerly Expats - Norway),-3,-3,-3,DE,13-19,M
2024-05-31 20:47:44,427,Lived in Poland (Formerly Expats - Poland),1000,1000,1000,DE,13-19,M
2024-05-31 20:47:54,989,Lived in Portugal (Formerly Expats - Portugal),1000,1000,1000,DE,13-19,M
2024-05-31 20:48:04,768,Lived in Romania (Formerly Expats - Romania),1000,1000,1000,DE,13-19,M
2024-05-31 20:48:15,989,Lived in Russia (Formerly Expats - Russia),1000,1000,1000,DE,13-19,M
2024-05-31 20:48:26,994,Lived in Serbia (Formerly Expats - Serbia),1000,1000,1000,DE,13-19,M
2024-05-31 20:48:37,0,Lived in Slovakia (Formerly Expats - Slovakia),1000,1000,1000,DE,13-19,M
2024-05-31 20:48:48,0,Lived in Spain (Formerly Expats - Spain),1000,1000,1000,DE,13-19,M
2024-05-31 20:48:59,497,Lived in Sweden (Formerly Expats - Sweden),1000,1000,1000,DE,13-19,M
2024-05-31 20:49:10,0,Lived in Switzerland (Formerly Expats - Switzerland),1000,1000,1000,DE,13-19,M
2024-05-31 21:34:27,0,Lived in United Kingdom (Formerly Expats - United Kingdom),1000,1000,1000,DE,13-19,M
2024-05-31 21:34:38,0,Lived in Greece (Formerly Expats - Greece),1000,1000,1000,DE,13-19,M
2024-05-31 21:34:45,-3,Lived in Latvia (Formerly Expats - Latvia),-3,-3,-3,DE,13-19,M
2024-05-31 21:34:52,-3,Lived in Luxembourg (Formerly Expats - Luxembourg),-3,-3,-3,DE,13-19,M
2024-05-31 21:34:59,360464,,753500,692400,814600,DE,13-19,F
2024-05-31 21:35:11,7706,Lives abroad,10550,9700,11400,DE,13-19,F
2024-05-31 21:35:22,0,Lived in Austria (Formerly Expats - Austria),1000,1000,1000,DE,13-19,F
2024-05-31 21:35:29,-3,Lived in Belgium (Formerly Expats - Belgium),-3,-3,-3,DE,13-19,F
