query_time,dau,behaviors,mau,mau_lower,mau_upper,country,age_group,gender_alias
2024-05-31 21:42:01,817,Lived in Netherlands (Formerly Expats - Netherlands),1000,1000,1000,DE,20-24,all
2024-05-31 21:42:22,13245,Lived in Poland (Formerly Expats - Poland),15650,14400,16900,DE,20-24,all
2024-05-31 21:43:26,835,Lived in Spain (Formerly Expats - Spain),1200,1100,1300,DE,20-24,all
2024-05-31 21:43:37,997,Lived in Sweden (Formerly Expats - Sweden),1000,1000,1000,DE,20-24,all
2024-05-31 21:43:57,466,Lived in United Kingdom (Formerly Expats - United Kingdom),1300,1200,1400,DE,20-24,all
2024-05-31 21:45:44,570,Lived in France (Formerly Expats - France),1000,1000,1000,DE,20-24,M
2024-05-31 21:45:55,0,Lived in Germany (Formerly Expats - Germany),1000,1000,1000,DE,20-24,M
2024-05-31 21:46:29,1632,Lived in Italy (Formerly Expats - Italy),2600,2400,2800,DE,20-24,M
2024-05-31 21:46:49,856,Lived in Netherlands (Formerly Expats - Netherlands),1000,1000,1000,DE,20-24,M
2024-05-31 21:47:10,5945,Lived in Poland (Formerly Expats - Poland),7500,6900,8100,DE,20-24,M
2024-05-31 21:48:14,713,Lived in Spain (Formerly Expats - Spain),1000,1000,1000,DE,20-24,M
2024-05-31 21:48:25,994,Lived in Sweden (Formerly Expats - Sweden),1000,1000,1000,DE,20-24,M
2024-05-31 21:48:47,285,Lived in United Kingdom (Formerly Expats - United Kingdom),1000,1000,1000,DE,20-24,M
2024-05-31 21:50:35,249,Lived in France (Formerly Expats - France),1000,1000,1000,DE,20-24,F
2024-05-31 21:50:47,0,Lived in Germany (Formerly Expats - Germany),1000,1000,1000,DE,20-24,F
2024-05-31 21:51:20,1591,Lived in Italy (Formerly Expats - Italy),2150,2000,2300,DE,20-24,F
2024-05-31 21:51:40,748,Lived in Netherlands (Formerly Expats - Netherlands),1000,1000,1000,DE,20-24,F
2024-05-31 21:52:03,7332,Lived in Poland (Formerly Expats - Poland),8100,7400,8800,DE,20-24,F
2024-05-31 22:38:10,713,Lived in Spain (Formerly Expats - Spain),1000,1000,1000,DE,20-24,F
2024-05-31 22:38:21,994,Lived in Sweden (Formerly Expats - Sweden),1000,1000,1000,DE,20-24,F
2024-05-31 22:38:41,665,Lived in United Kingdom (Formerly Expats - United Kingdom),1000,1000,1000,DE,20-24,F
2024-05-31 22:40:28,2164,Lived in France (Formerly Expats - France),2950,2700,3200,DE,25-29,all
2024-05-31 22:40:39,994,Lived in Germany (Formerly Expats - Germany),1000,1000,1000,DE,25-29,all
2024-05-31 22:41:10,16072,Lived in Italy (Formerly Expats - Italy),17100,15700,18500,DE,25-29,all
2024-05-31 22:41:30,1688,Lived in Netherlands (Formerly Expats - Netherlands),2200,2000,2400,DE,25-29,all
2024-05-31 22:41:51,30100,Lived in Poland (Formerly Expats - Poland),32250,29600,34900,DE,25-29,all
2024-05-31 22:42:56,4432,Lived in Spain (Formerly Expats - Spain),5250,4800,5700,DE,25-29,all
2024-05-31 22:43:07,699,Lived in Sweden (Formerly Expats - Sweden),1000,1000,1000,DE,25-29,all
2024-05-31 22:43:28,2776,Lived in United Kingdom (Formerly Expats - United Kingdom),3700,3400,4000,DE,25-29,all
2024-05-31 22:45:25,1058,Lived in France (Formerly Expats - France),1400,1300,1500,DE,25-29,M
2024-05-31 22:45:35,0,Lived in Germany (Formerly Expats - Germany),1000,1000,1000,DE,25-29,M
2024-05-31 22:46:07,7870,Lived in Italy (Formerly Expats - Italy),8750,8000,9500,DE,25-29,M
2024-05-31 22:46:28,957,Lived in Netherlands (Formerly Expats - Netherlands),1200,1100,1300,DE,25-29,M
2024-05-31 22:46:50,13220,Lived in Poland (Formerly Expats - Poland),14700,13500,15900,DE,25-29,M
2024-05-31 22:47:53,2622,Lived in Spain (Formerly Expats - Spain),2700,2500,2900,DE,25-29,M
2024-05-31 22:48:04,665,Lived in Sweden (Formerly Expats - Sweden),1000,1000,1000,DE,25-29,M
2024-05-31 22:48:24,1675,Lived in United Kingdom (Formerly Expats - United Kingdom),2050,1900,2200,DE,25-29,M
2024-05-31 22:50:25,1073,Lived in France (Formerly Expats - France),1550,1400,1700,DE,25-29,F
2024-05-31 22:50:35,994,Lived in Germany (Formerly Expats - Germany),1000,1000,1000,DE,25-29,F
2024-05-31 22:51:06,7626,Lived in Italy (Formerly Expats - Italy),8050,7400,8700,DE,25-29,F
2024-05-31 22:51:27,784,Lived in Netherlands (Formerly Expats - Netherlands),1050,1000,1100,DE,25-29,F
2024-05-31 23:36:51,17288,Lived in Poland (Formerly Expats - Poland),17750,16300,19200,DE,25-29,F
2024-05-31 23:37:55,1846,Lived in Spain (Formerly Expats - Spain),2500,2300,2700,DE,25-29,F
2024-05-31 23:38:06,748,Lived in Sweden (Formerly Expats - Sweden),1000,1000,1000,DE,25-29,F
2024-05-31 23:38:26,1079,Lived in United Kingdom (Formerly Expats - United Kingdom),1650,1500,1800,DE,25-29,F
